id,calendartype,createdby,createddate,modifiedby,modifieddate,corporateofficehourenddate,corporateofficehourid,corporateofficehourname,corporateofficehourphotourl,corporateofficehourstartdate,corporateofficehourstatus,corporateofficehourtype,daytype,esid
11,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:55,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708320004,OFF SUNDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFF OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:45"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-007"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SUNDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:35"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890991120"",""essubcoID"":""SUBCO-160489099112011"",""esname"":""Bank Artha Graha Sudirman (KCI)""}"
12,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:51,EMP-013438,11/30/2020 12:08,11/30/2020 17:00,COPOFFHOU-1606708320005,NORMAL TUESDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUESDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:17:19"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890991120"",""essubcoID"":""SUBCO-160489099112011"",""esname"":""Bank Artha Graha Sudirman (KCI)""}"
13,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:50,EMP-013438,11/30/2020 12:08,11/30/2020 17:00,COPOFFHOU-1606708320006,NORMAL MONDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MONDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:16:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890991120"",""essubcoID"":""SUBCO-160489099112011"",""esname"":""Bank Artha Graha Sudirman (KCI)""}"
14,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:52,EMP-105958,11/30/2020 10:56,11/30/2020 17:00,COPOFFHOU-1606708320007,NORMAL WEDNESDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""WEDNESDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:17:29"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890991120"",""essubcoID"":""SUBCO-160489099112011"",""esname"":""Bank Artha Graha Sudirman (KCI)""}"
15,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:53,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708330001,NORMAL THURDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""THURSDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:06"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604891896911"",""essubcoID"":""SUBCO-160489189691116"",""esname"":""Bank Artha Graha Melawai (KCI)""}"
16,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:53,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708330002,NORMAL FRIDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""FRIDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:14"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604891896911"",""essubcoID"":""SUBCO-160489189691116"",""esname"":""Bank Artha Graha Melawai (KCI)""}"
17,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:54,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708330003,OFF SATURDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFF OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:45"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SATURDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:25"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604891896911"",""essubcoID"":""SUBCO-160489189691116"",""esname"":""Bank Artha Graha Melawai (KCI)""}"
18,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:55,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708330004,OFF SUNDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFF OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:45"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-007"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SUNDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:35"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604891896911"",""essubcoID"":""SUBCO-160489189691116"",""esname"":""Bank Artha Graha Melawai (KCI)""}"
19,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:51,EMP-013438,11/30/2020 12:08,11/30/2020 17:00,COPOFFHOU-1606708330005,NORMAL TUESDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUESDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:17:19"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604891896911"",""essubcoID"":""SUBCO-160489189691116"",""esname"":""Bank Artha Graha Melawai (KCI)""}"
20,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:50,EMP-013438,11/30/2020 12:08,11/30/2020 17:00,COPOFFHOU-1606708330006,NORMAL MONDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MONDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:16:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604891896911"",""essubcoID"":""SUBCO-160489189691116"",""esname"":""Bank Artha Graha Melawai (KCI)""}"
21,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:52,EMP-105958,11/30/2020 10:56,11/30/2020 17:00,COPOFFHOU-1606708330007,NORMAL WEDNESDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""WEDNESDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:17:29"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604891896911"",""essubcoID"":""SUBCO-160489189691116"",""esname"":""Bank Artha Graha Melawai (KCI)""}"
22,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:53,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708340001,NORMAL THURDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""THURSDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:06"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604895716532"",""essubcoID"":""SUBCO-160489571653256"",""esname"":""Bank Artha Graha Bintaro (KCP)""}"
