ouCNBTPLID,ouCNCTPLID,ouIPPTPLID,ouTaxTPLID,laneType,oUGrade,oUHashChild,oUID,oUJobDescription,oULevel,oUParentID,oUPayrollTaxTPLID,oUPosition
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793761324,GRADE-002;	2153000-5418000	;FAC-1603793761324,GRADE-003;	2369000-5961000	;FAC-1603793761324,GRADE-004;	5167000-10334000	;FAC-1603793761324,GRADE-005;	6718000-13346000	;FAC-1603793761324,GRADE-006;	8734000-17466000	;FAC-1603793761324,GRADE-007;	11355000-22710000	;FAC-1603793761324,GRADE-008;	14762000-29524000	;FAC-1603793761324,GRADE-009;	19191000-38382000	;FAC-1603793761324,GRADE-010;	25908000-51816000	;FAC-1603793761324,GRADE-011;	34976000-69525000	;FAC-1603793761324,GRADE-012;	47218000-69952000	;FAC-1603793761324,GRADE-013;	47218000-69952000	;FAC-1603793761324,GRADE-014;	1957000-4925000	;FAC-1603793761324",TRUE,OUID-KOMUT10001,Komisaris Utama                                   ,LVL-000,NULL,PAY-1580288169116,LVL-000-KOMUT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603778861841,GRADE-002;	2153000-5418000	;FAC-1603778861841,GRADE-003;	2369000-5961000	;FAC-1603778861841,GRADE-004;	5167000-10334000	;FAC-1603778861841,GRADE-005;	6718000-13346000	;FAC-1603778861841,GRADE-006;	8734000-17466000	;FAC-1603778861841,GRADE-007;	11355000-22710000	;FAC-1603778861841,GRADE-008;	14762000-29524000	;FAC-1603778861841,GRADE-009;	19191000-38382000	;FAC-1603778861841,GRADE-010;	25908000-51816000	;FAC-1603778861841,GRADE-011;	34976000-69525000	;FAC-1603778861841,GRADE-012;	47218000-69952000	;FAC-1603778861841,GRADE-013;	47218000-69952000	;FAC-1603778861841,GRADE-014;	1957000-4925000	;FAC-1603778861841",TRUE,OUID-EOPSD10012,Executive Officer Pengembangan SDM dan Diklat     ,LVL-004,OUID-DDSDU10011,PAY-1580288169116,LVL-004-EOPSD
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SOPSD10013,Senior Officer Pengembangan SDM                   ,LVL-005,OUID-EOPSD10012,PAY-1580288169116,LVL-005-SOPSD
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-STPGDS10014,Staff Pengembangan SDM                            ,LVL-006,OUID-EOPSD10012,PAY-1580288169116,LVL-006-STPGDS
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SOPLT10015,Senior Officer Pelatihan                          ,LVL-005,OUID-EOPSD10012,PAY-1580288169116,LVL-005-SOPLT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-STPLTH10016,Staff Pelatihan                                   ,LVL-006,OUID-EOPSD10012,PAY-1580288169116,LVL-006-STPLTH
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603778861841,GRADE-002;	2153000-5418000	;FAC-1603778861841,GRADE-003;	2369000-5961000	;FAC-1603778861841,GRADE-004;	5167000-10334000	;FAC-1603778861841,GRADE-005;	6718000-13346000	;FAC-1603778861841,GRADE-006;	8734000-17466000	;FAC-1603778861841,GRADE-007;	11355000-22710000	;FAC-1603778861841,GRADE-008;	14762000-29524000	;FAC-1603778861841,GRADE-009;	19191000-38382000	;FAC-1603778861841,GRADE-010;	25908000-51816000	;FAC-1603778861841,GRADE-011;	34976000-69525000	;FAC-1603778861841,GRADE-012;	47218000-69952000	;FAC-1603778861841,GRADE-013;	47218000-69952000	;FAC-1603778861841,GRADE-014;	1957000-4925000	;FAC-1603778861841",TRUE,OUID-EORKT10017,Executive Officer Rekrutmen                       ,LVL-004,OUID-DDSDU10011,PAY-1580288169116,LVL-004-EORKT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SORKR10018,Senior Officer Rekrutmen                          ,LVL-005,OUID-EORKT10017,PAY-1580288169116,LVL-005-SORKR
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-STRKT10019,Staff Rekrutmen                                   ,LVL-006,OUID-EORKT10017,PAY-1580288169116,LVL-006-STRKT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603778861841,GRADE-002;	2153000-5418000	;FAC-1603778861841,GRADE-003;	2369000-5961000	;FAC-1603778861841,GRADE-004;	5167000-10334000	;FAC-1603778861841,GRADE-005;	6718000-13346000	;FAC-1603778861841,GRADE-006;	8734000-17466000	;FAC-1603778861841,GRADE-007;	11355000-22710000	;FAC-1603778861841,GRADE-008;	14762000-29524000	;FAC-1603778861841,GRADE-009;	19191000-38382000	;FAC-1603778861841,GRADE-010;	25908000-51816000	;FAC-1603778861841,GRADE-011;	34976000-69525000	;FAC-1603778861841,GRADE-012;	47218000-69952000	;FAC-1603778861841,GRADE-013;	47218000-69952000	;FAC-1603778861841,GRADE-014;	1957000-4925000	;FAC-1603778861841",TRUE,OUID-EOHIN10020,Executive Officer Hubungan Industrial             ,LVL-004,OUID-DDSDU10011,PAY-1580288169116,LVL-004-EOHIN
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SOHIN10021,Senior Officer Hubungan Industrial                ,LVL-005,OUID-EOHIN10020,PAY-1580288169116,LVL-005-SOHIN
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-STHIN10022,Staff Hubungan Industrial                         ,LVL-006,OUID-EOHIN10020,PAY-1580288169116,LVL-006-STHIN
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SPHII10023,Staff Pajak Hubungan Industrial                              ,LVL-006,OUID-EOHIN10020,PAY-1580288169116,LVL-006-SPHII
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-STSDC10024,Staff SDM Cabang                                  ,LVL-006,OUID-EOHIN10020,PAY-1580288169116,LVL-006-STSDC
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603778861841,GRADE-002;	2153000-5418000	;FAC-1603778861841,GRADE-003;	2369000-5961000	;FAC-1603778861841,GRADE-004;	5167000-10334000	;FAC-1603778861841,GRADE-005;	6718000-13346000	;FAC-1603778861841,GRADE-006;	8734000-17466000	;FAC-1603778861841,GRADE-007;	11355000-22710000	;FAC-1603778861841,GRADE-008;	14762000-29524000	;FAC-1603778861841,GRADE-009;	19191000-38382000	;FAC-1603778861841,GRADE-010;	25908000-51816000	;FAC-1603778861841,GRADE-011;	34976000-69525000	;FAC-1603778861841,GRADE-012;	47218000-69952000	;FAC-1603778861841,GRADE-013;	47218000-69952000	;FAC-1603778861841,GRADE-014;	1957000-4925000	;FAC-1603778861841",TRUE,OUID-EOKDB10025,Executive Officer Kompensasi dan Benefit          ,LVL-004,OUID-DDSDU10011,PAY-1580288169116,LVL-004-EOKDB
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SOKOM10026,Senior Officer Kompensasi                         ,LVL-005,OUID-EOKDB10025,PAY-1580288169116,LVL-005-SOKOM
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-STPAY10027,Staff Payroll                                     ,LVL-006,OUID-EOKDB10025,PAY-1580288169116,LVL-006-STPAY
