"id","company","facilities","createdby","createddate","modifiedby","modifieddate","facilityid","facilityname","facilitynotes","facilityphotourl","facilitystatus","orgstructuretplid","ougrade","ouid","facilitydestination","facilitytemplatetype"
263,"{""esID"":""ES-1583989469491"",""esSubcoID"":""SUBCO-158398946949129"",""esName"":""KPNO ROLE""}",,EMP-000368,2020-08-04 13:16:02,EMP-000368,,FAC-1596521762802,Facility Tester,"","",ACTIVE,,,,,
273,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-001"",""facilityDetailNotes"":""Detail Notes"",""facilityDetailQty"":2,""facilityType"":{""bizparKey"":""FACTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:23:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-002-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM TIGA STEL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:24:40"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-002"",""facilityDetailNotes"":""Detail Notes"",""facilityDetailQty"":3,""facilityType"":{""bizparKey"":""FACTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:23:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-002-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM DUA STEL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:24:26"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",SYSTEM,2020-10-09 08:48:51,SYSTEM,2020-10-12 10:25:44,FAC-TEST-12OCT2020,Test post-deploy 12 oct 2020,notes belongs to here,Facility Photo URL,ACTIVE,,,,"{""destinationKey"":""3171"",""destinationName"":""KOTA ADM. JAKARTA SELATAN""}","{""bizparKey"":""FAC-TEMP-TYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Facility Template Type Mutasi"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""09-10-2020 04:08:57"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TEMPLATE_TYPE""}"
181,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",[],EMP-205,2020-03-18 02:33:51,SYSTEM,2020-03-18 02:43:14,FAC-1584498853691,PAA,"","",INACTIVE,,,,,
178,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",[],EMP-205,2020-03-16 03:46:15,SYSTEM,2020-03-26 03:54:30,FAC-1584333596588,Facility - Check Test,"","",INACTIVE,,,,,
250,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-1595492779473"",""facilityDetailNotes"":"""",""facilityDetailQty"":32,""facilityType"":{""bizparKey"":""FACTYP-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUNJANGAN"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 03:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-006-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LISTRIK/AIR/TELEPON"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 03:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-07-23 15:23:48,EMP-205,2020-07-23 08:29:49,FAC-1595492628270,testing,"","",INACTIVE,,,,,
213,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-1586747436032"",""facilityDetailNotes"":"""",""facilityDetailQty"":2,""facilityType"":{""bizparKey"":""FACTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 15:23:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-002-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM TIGA STEL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 15:24:40"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-04-13 03:09:19,SYSTEM,2020-04-13 03:10:36,FAC-1586747405326,TRIAL FACILITY 13 APRIL 2020 NEW,"","",INACTIVE,,,,,
227,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-1587628973525"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUNJANGAN"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-005-FACCAT-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LISTRIK"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-04-23 03:49:51,SYSTEM,2020-04-23 08:11:19,FAC-1587627292446,Facility Grade 5,"","",INACTIVE,,,,,
179,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-1584334093893"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 16:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""PERSONAL COMPUTER"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""15-11-2019 16:42:39"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1584348496249"",""facilityDetailNotes"":"""",""facilityDetailQty"":300000,""facilityType"":{""bizparKey"":""FACTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 15:23:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-002-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM TIGA STEL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 15:24:40"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1584349215141"",""facilityDetailNotes"":"""",""facilityDetailQty"":40000,""facilityType"":{""bizparKey"":""FACTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 15:23:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-002-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM TIGA STEL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 15:24:40"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-03-16 04:47:40,SYSTEM,2020-03-19 15:44:27,FAC-1584334070194,TEST,"","",INACTIVE,,,,,
214,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",[],EMP-205,2020-04-15 18:23:30,SYSTEM,2020-04-27 02:15:26,FAC-1586975037808,testing todayyyy,"","",INACTIVE,,,,,
182,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",,EMP-205,2020-03-18 00:46:23,EMP-205,,FAC-1584511807374,C,"","",INACTIVE,,,,,
184,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",,EMP-205,2020-03-18 00:46:23,EMP-205,,FAC-1584511832117,C,"","",INACTIVE,,,,,
277,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",,EMP-205,2020-10-12 10:54:24,EMP-205,2020-10-12 04:54:59,FAC-1602474864333,testing,"","",INACTIVE,,,,"{""destinationKey"":null,""destinationName"":null}","{""bizparKey"":""FAC-TEMP-TYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Dalam Kota"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""09-10-2020 04:08:57"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TEMPLATE_TYPE""}"
224,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-1587628775020"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TEMPAT TINGGAL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-004-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KOST"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1587628812399"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUNJANGAN"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-005-FACCAT-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TELEPON"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-04-23 03:49:51,SYSTEM,2020-04-23 08:11:26,FAC-1587627234357,Facility Grade 2,"","",INACTIVE,,,,,
183,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-1584512207235"",""facilityDetailNotes"":"""",""facilityDetailQty"":3,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 16:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""PERSONAL COMPUTER"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""15-11-2019 16:42:39"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-03-18 00:46:23,SYSTEM,2020-03-19 15:40:07,FAC-1584511818103,C,"","",INACTIVE,,,,,
264,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",[],EMP-205,2020-08-04 20:29:13,EMP-205,2020-08-05 06:56:04,FAC-1596547753226,as,"","",ACTIVE,,,,,
276,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",[],EMP-205,2020-10-12 10:51:53,EMP-205,2020-10-12 05:41:16,FAC-1602474713333,fac testing destination,"","",INACTIVE,,,,,"{""bizparKey"":""FAC-TEMP-TYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Dalam Kota"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""09-10-2020 04:08:57"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TEMPLATE_TYPE""}"
283,"{""esID"":""ES-1583989469491"",""esSubcoID"":""SUBCO-158398946949129"",""esName"":""KPNO ROLE""}","[{""facilityDetailID"":""FACDET-1603080570635"",""facilityDetailNotes"":"""",""facilityDetailQty"":100000,""facilityType"":{""bizparKey"":""FACTYP-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUNJANGAN"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 03:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-006-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LISTRIK/AIR/TELEPON"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 03:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-000368,2020-10-19 11:09:00,EMP-000368,2020-10-19 11:09:30,FAC-1603080540675,Template UI Lama (19 Okt 2020),"","",ACTIVE,,,,,
185,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",,EMP-205,2020-03-18 06:56:06,EMP-205,,FAC-1584514697599,A,"","",INACTIVE,,,,,
228,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-1587629665732"",""facilityDetailNotes"":"""",""facilityDetailQty"":70000000,""facilityType"":{""bizparKey"":""FACTYP-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TEMPAT TINGGAL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-004-FACCAT-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SEWA RUMAH"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":""23-04-2020 23:12:32""},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1587630074958"",""facilityDetailNotes"":"""",""facilityDetailQty"":1500000,""facilityType"":{""bizparKey"":""FACTYP-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUNJANGAN"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-006-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LISTRIK/AIR/TELEPON"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1587633745802"",""facilityDetailNotes"":"""",""facilityDetailQty"":6000000,""facilityType"":{""bizparKey"":""FACTYP-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TEMPAT TINGGAL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-004-FACCAT-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""APARTEMEN"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":""23-04-2020 23:11:03""},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-04-23 03:49:51,SYSTEM,2020-04-23 09:22:25,FAC-1587629495544,Facility Korwil / Kadiv Atau grade 10-12 Kelompok Kota 1,"","",ACTIVE,,,,,
229,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-157301276280622"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}","[{""facilityDetailID"":""FACDET-1587629612601"",""facilityDetailNotes"":"""",""facilityDetailQty"":50000000,""facilityType"":{""bizparKey"":""FACTYP-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TEMPAT TINGGAL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-004-FACCAT-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SEWA RUMAH"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":""23-04-2020 23:12:32""},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1587630339059"",""facilityDetailNotes"":"""",""facilityDetailQty"":1500000,""facilityType"":{""bizparKey"":""FACTYP-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUNJANGAN"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-006-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LISTRIK/AIR/TELEPON"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1587633793180"",""facilityDetailNotes"":"""",""facilityDetailQty"":4000000,""facilityType"":{""bizparKey"":""FACTYP-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TEMPAT TINGGAL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-004-FACCAT-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""APARTEMEN"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-04-2020 10:49:51"",""modifiedBy"":""EMP-205"",""modifiedDate"":""23-04-2020 23:11:03""},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-04-23 03:49:51,SYSTEM,2020-04-23 09:23:13,FAC-1587629539762,Facility Korwil / Kadiv Atau grade 10-12 Kelompok Kota 2,"","",ACTIVE,,,,,
