id;bizparcategory;createdby;createddate;modifiedby;modifieddate;bizparkey;bizparstatus;bizparvalue
14;BLACKLIST_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLATYP-002;ACTIVE;Surat Peringatan
15;BLACKLIST_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLATYP-003;ACTIVE;Permanent
16;BLOOD_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLOTYP-001;ACTIVE;A
17;BLOOD_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLOTYP-002;ACTIVE;AB
18;BLOOD_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLOTYP-003;ACTIVE;B
19;BLOOD_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLOTYP-004;ACTIVE;O
20;CALENDAR_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CALTYP-001;ACTIVE;GREGORIAN
21;CATEGORY_EMPLOYEE_STATUS;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CATEMP-001;ACTIVE;TETAP
22;CATEGORY_EMPLOYEE_STATUS;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CATEMP-002;ACTIVE;KONTRAK
23;CATEGORY_EMPLOYEE_STATUS;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CATEMP-003;ACTIVE;PERCOBAAN
24;CATEGORY_EMPLOYEE_STATUS;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CATEMP-006;ACTIVE;TRAINEE
25;CLOTH_SIZE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CLOTYP-001;ACTIVE;S
26;CLOTH_SIZE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CLOTYP-002;ACTIVE;M
27;CLOTH_SIZE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CLOTYP-003;ACTIVE;L
28;CLOTH_SIZE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CLOTYP-004;ACTIVE;XL
29;CLOTH_SIZE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CLOTYP-005;ACTIVE;XXL
30;CLOTH_SIZE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CLOTYP-006;ACTIVE;XXXL
31;CLOTH_SIZE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CLOTYP-007;ACTIVE;XXXXL
32;CLOTH_SIZE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;CLOTYP-008;ACTIVE;XXXXXL
33;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPEN_TYPE1;ACTIVE;COMPENSATION
34;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPEN_TYPE2;ACTIVE;BENEFIT
35;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-001;ACTIVE;Rawat Jalan
36;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-002;ACTIVE;Obat Bebas
37;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-003;ACTIVE;Legal Dependent
38;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-004;ACTIVE;Persalinan - Normal
39;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-005;ACTIVE;Persalinan - Caesar
40;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-006;ACTIVE;Persalinan - Keguguran
41;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-007;ACTIVE;Kacamata - Frame
42;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-008;ACTIVE;Kacamata - Lensa (Plus, Minus, Softlens)
43;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-010;ACTIVE;Tunjangan Duka
44;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-011;ACTIVE;Tunjangan Pernikahan
45;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-012;ACTIVE;Tunjangan Cuti Istimewa
46;COMPENSATION_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMPTYPE-013;ACTIVE;Kacamata - Lensa (Proggresive)
47;COMPETENCY_SKILL;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMSKL-001;ACTIVE;SANGAT BAGUS
48;COMPETENCY_SKILL;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMSKL-002;ACTIVE;BAGUS
49;COMPETENCY_SKILL;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMSKL-003;ACTIVE;CUKUP
50;COMPETENCY_SKILL;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;COMSKL-004;ACTIVE;KURANG BAGUS
51;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-001;ACTIVE;1
52;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-002;ACTIVE;2
53;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-003;ACTIVE;3
54;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-004;ACTIVE;4
55;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-005;ACTIVE;5
56;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-006;ACTIVE;6
57;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-007;ACTIVE;7
58;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-008;ACTIVE;8
59;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-009;ACTIVE;9
60;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-010;ACTIVE;10
61;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-011;ACTIVE;11
62;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-012;ACTIVE;12
63;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-013;ACTIVE;13
64;CORPORATE_GRADE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;GRADE-014;ACTIVE;0
65;CORPORATE_LEVEL;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-000;ACTIVE;KOMISARIS
66;CORPORATE_LEVEL;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-001;ACTIVE;DIREKTUR
67;CORPORATE_LEVEL;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002;ACTIVE;ASSOCIATE DIREKTUR
68;CORPORATE_LEVEL;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-003;ACTIVE;DEPUTY DIREKTUR
69;CORPORATE_LEVEL;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-004;ACTIVE;EXECUTIVE OFFICER
70;CORPORATE_LEVEL;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-005;ACTIVE;SENIOR OFFICER
71;CORPORATE_LEVEL;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-006;ACTIVE;STAFF
72;CORPORATE_POLICY_ABSANCE_TYPE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;POLICYATTYP-001;ACTIVE;CHECKIN
73;CORPORATE_POLICY_ABSANCE_TYPE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;POLICYATTYP-002;ACTIVE;CHECKOUT
74;CORPORATE_POLICY_DAYS_TYPE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;POLICYDTTYP-001;ACTIVE;WORKING DAYS
75;CORPORATE_POLICY_DAYS_TYPE;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;POLICYDTTYP-002;ACTIVE;HOLIDAY DAYS
76;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;51301001003001001;ACTIVE;Staff Collection Cabang
77;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;51301001003001002;ACTIVE;Staff Admin Cabang
78;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;51301001003001003001;ACTIVE;Account Officer
79;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;51301001003001003002;ACTIVE;Assistant Account officer
80;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;COR_LEVEL001-COR_POSITION01;ACTIVE;DIREKTUR UTAMA XXX
81;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-000-KMRIS;ACTIVE;Komisaris
82;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-000-KOMUT;ACTIVE;Komisaris Utama
83;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-000-SEKRWDU;ACTIVE;Sekretaris Wakil Direktur Utama
84;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-000-SKKOM;ACTIVE;Sekretariat Komisaris
85;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-000-SKWKU;ACTIVE;Sekretaris Wakil Komisaris Utama
86;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-000-STKOM;ACTIVE;Staff Komisaris
87;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-000-WKKOMUT;ACTIVE;Wakil Komisaris Utama
88;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-51301001003;ACTIVE;Deputi Direktur Dummy
89;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDADM;ACTIVE;Deputi Direktur Admin Kredit
90;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDADP;ACTIVE;Deputi Direktur Akuntansi dan Pelaporan
91;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDAMR;ACTIVE;Deputi Direktur Admin Mikro dan Ritel
92;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDAPA;ACTIVE;Deputi Direktur Anti Penipuan dan APUPPT
93;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDAPB;ACTIVE;Deputi Direktur Akuntansi, Pelaporan dan Budgeting
94;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDASP;ACTIVE;Deputi Direktur Admin Sekretaris Perusahaan
95;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDBN1;ACTIVE;Deputi Direktur Bisnis 1
96;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDBN2;ACTIVE;Deputi Direktur Bisnis 2
97;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDBN3;ACTIVE;Deputi Direktur Bisnis 3
98;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDBSS;ACTIVE;Deputi Direktur Bisnis Sindikasi
99;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDHIN;ACTIVE;Deputi Direktur Hubungan Internasional
100;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDHKM;ACTIVE;Deputi Direktur Hukum
101;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDKDK;ACTIVE;Deputi Direktur Korporasi dan Komersil
102;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDKMB;ACTIVE;Deputi Direktur Konsumer Banking
103;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDKPT;ACTIVE;Deputi Direktur Kepatuhan
104;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDKRA;ACTIVE;Deputi Direktur Kredit Review dan Analis
105;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDLPI;ACTIVE;Deputi Direktur Layanan Perbankan Inklusif
106;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDLTK;ACTIVE;Deputi Direktur Litigasi Kredit
107;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDMIK;ACTIVE;Deputi Direktur Mikro & Inklusi Keuangan
108;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDMJP;ACTIVE;Deputi Direktur Manajemen Perubahan
109;CORPORATE_POSITION;SYSTEM;26/06/2019 16:41;SYSTEM;26/06/2019 16:41;LVL-002-DDNRS;ACTIVE;Deputi Direktur Non-Risiko Kredit
110;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDOPR;ACTIVE;Deputi Direktur Operasi
111;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDPAK;ACTIVE;Deputi Direktur Pengelolaan Aset Khusus
112;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDPDP;ACTIVE;Deputi Direktur Perbaikan & Penagihan
113;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDPDT;ACTIVE;Deputi Direktur Perbankan Digital dan Tekn Inform
114;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDPLC;ACTIVE;Deputi Direktur Pengelolaan Cabang
115;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDPPM;ACTIVE;Deputi Direktur Pengembangan Produk & Markom
116;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDRDP;ACTIVE;Deputi Direktur Remedial & Penagihan
117;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDRSK;ACTIVE;Deputi Direktur Risiko Kredit
118;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDRTK;ACTIVE;Deputi Direktur Restruktur
119;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDRTL;ACTIVE;Deputi Direktur Ritel
120;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDSDR;ACTIVE;Deputi Direktur SAM & Restrukturisasi
121;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDSDU;ACTIVE;Deputi Direktur SDM dan Umum
122;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDSKA;ACTIVE;Deputi Direktur SKAI
123;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDSPA;ACTIVE;Deputi Direktur Sisdur, Perwakilan Peng & Anggaran
124;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDSPP;ACTIVE;Deputi Direktur Sisdur & Perwakilan Pengguna
125;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDTIK;ACTIVE;Deputi Direktur Treasuri & Institusi Keuangan
126;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DDUMK;ACTIVE;Deputi Direktur UMKM Mikro
127;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-DKSKMR;ACTIVE;Direktur Kepatuhan & SKMR
128;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-SEKDIU;ACTIVE;Sekretaris Direktur UMKM
129;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-SEKDKO;ACTIVE;Sekretaris Direktur Korporasi
130;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-SEKDKS;ACTIVE;Sekretaris Direktur Kepatuhan & SKMR
131;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-002-SEKDO;ACTIVE;Sekr. Direktur Oprs, Adm kredit & Kontrol Keuangan
132;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-BRDRK;ACTIVE;Biro Direksi
133;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-DDSKA;ACTIVE;Deputi Direktur SKAI
134;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-DRKRP;ACTIVE;Direktur Korporasi
135;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-DRKSM;ACTIVE;Direktur Kepatuhan & SKMR
136;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-DRKSMR;ACTIVE;Direktur Konsumer
137;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-DROAK;ACTIVE;Direktur Operasional, Adm Kredit & Kontrol Keu
138;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-DRPAK;ACTIVE;Direktur Pengelolaan Aset Khusus dan Penagihan
139;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-DRUKM;ACTIVE;Direktur UMKM
140;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-DRUTM;ACTIVE;Direktur Utama
141;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-SEKRPR;ACTIVE;Sekretaris Perusahaan
142;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-SEKRWDU;ACTIVE;Sekretaris Wakil Direktur Utama
143;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-SKDRK;ACTIVE;Sekretaris Direksi
144;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-SKDUT;ACTIVE;Sekretaris Direktur Utama
145;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-003-WKDUT;ACTIVE;Wakil Direktur Utama
146;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-HCCBMNGR;ACTIVE;Compensation & Benefit Manager
147;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-HCCBSTF;ACTIVE;Compensation & Benefit Staff
148;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-HCHEAD;ACTIVE;HC Division Head
149;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-HCOSDMNG;ACTIVE;Organization Development Manager
150;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-HCRECMNGR;ACTIVE;Recruitment Manager
151;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-HCRECSTF;ACTIVE;Recruitment Staff
152;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOADM;ACTIVE;Senior Officer Admin Mikro
153;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOADR;ACTIVE;Senior Officer Admin Ritel
154;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAGG;ACTIVE;Senior Officer Anggaran
155;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAKD;ACTIVE;Senior Officer Admin Kredit Dokumen
156;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAKF;ACTIVE;Senior Officer Admin Kredit Fasilitas
157;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAKP;ACTIVE;Senior Officer Admin Kredit Pelaporan
158;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAKR;ACTIVE;Senior Officer Admin Kredit
159;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAKT;ACTIVE;Senior Officer Akuntansi
160;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAPA;ACTIVE;Senior Officer APU-PPT & AML-CTF
161;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAPF;ACTIVE;Senior Officer Anti Fraud
162;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOAPP;ACTIVE;Senior Officer APU-PPT
163;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOASP;ACTIVE;Senior Officer Admin Sekretaris Perusahaan
164;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOATM;ACTIVE;Senior Officer ATM Ops
165;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOATO;ACTIVE;Senior Officer ATM Ops
166;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOBEN;ACTIVE;Senior Officer Benefit
167;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOBGT;ACTIVE;Senior Officer Budgeting
168;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOBPN;ACTIVE;Senior Officer Bisnis Pendukung
169;CORPORATE_POSITION;SYSTEM;26/06/2019 16:42;SYSTEM;26/06/2019 16:42;LVL-004-SOCCG;ACTIVE;Senior Officer Customer Care & Graha Call
170;CORPORATE_POSITION;SYSTEM;26/06/2019 16:43;SYSTEM;26/06/2019 16:43;LVL-004-SOCSS;ACTIVE;Senior Officer CSSR
171;CORPORATE_POSITION;SYSTEM;26/06/2019 16:43;SYSTEM;26/06/2019 16:43;LVL-004-SODCT;ACTIVE;Senior Officer Data Center
172;CORPORATE_POSITION;SYSTEM;26/06/2019 16:43;SYSTEM;26/06/2019 16:43;LVL-004-SODPS;ACTIVE;Senior Officer Deposito
