"id","bizparcategory","createdby","createddate","modifiedby","modifieddate","bizparkey","bizparstatus","bizparvalue"
832,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOLER,ACTIVE,Account Officer Lending-Retail
833,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOLHF,ACTIVE,Account Officer Lending Hunter FLPP&KUR
834,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOMKR,ACTIVE,Account Officer Mikro
835,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AORTK,ACTIVE,Account Officer Ritel & Konsumer
836,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AORTL,ACTIVE,Account Officer Retail
837,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOUSM,ACTIVE,Account Officer UMKM/SME
838,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,ASCCO,ACTIVE,Assistant Account Officer
839,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,ASDAF,ACTIVE,Assistant Deputi Anti Fraud
840,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,ASDCR,ACTIVE,Associate Director Credit Recovery
841,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,ASDIR,ACTIVE,Associate Director Bisnis Retail
842,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,ASDOP,ACTIVE,Associate Director Operasi
843,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,BDRKS,ACTIVE,Biro Direksi
844,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,BIRHU,ACTIVE,Biro Hukum
845,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,CASHO,ACTIVE,Cash Officer
846,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,CASHU,ACTIVE,Cash Officer UKS
847,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,CSERV,ACTIVE,Customer Service
848,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDAMK,ACTIVE,Deputi Direktur Admin Kredit
849,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDBRC,ACTIVE,Deputi Direktur Branch Banking
850,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDBSR,ACTIVE,Deputi Direktur Budgeting & Sisdur
851,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDDBI,ACTIVE,Deputi Direktur Digital Banking & IT
852,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDFIT,ACTIVE,Deputi Direktur FI Treasury
853,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDFKT,ACTIVE,Deputi Direktur Financial Kontrol
854,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDKK1,ACTIVE,Deputi Direktur Korporasi & Komersial 1
855,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDKK2,ACTIVE,Deputi Direktur Korporasi & Komersial 2
856,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDKK3,ACTIVE,Deputi Direktur Korporasi & Komersial 3
857,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDKMB,ACTIVE,Deputi Direktur Konsumer Banking
858,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDKPT,ACTIVE,Deputi Direktur Kepatuhan
859,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDPPR,ACTIVE,Deputi Direktur Pengembangan Produk
860,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDRHU,ACTIVE,Deputi Direktur Hukum
861,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDRMD,ACTIVE,Deputi Direktur Remedial
862,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDSAM,ACTIVE,Deputi Direktur SAM
863,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDSDU,ACTIVE,Deputi Direktur SDM dan Umum
864,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDSKA,ACTIVE,Deputi Direktur SKAI
865,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDSKM,ACTIVE,Deputi Direktur SKMR Non Kredit
866,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDSKR,ACTIVE,Deputi Direktur SKMR Kredit
867,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DDUMK,ACTIVE,Deputi Direktur UMKM Mikro
868,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DIRPS,ACTIVE,"Direktur Oprs,Admin Krd & Kontrol Keu"
869,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DIRUT,ACTIVE,Direktur Utama
870,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DPDAC,ACTIVE,Deputi Direktur Admin Corprate Secretary
871,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DRKMR,ACTIVE,Direktur Konsumer
872,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DRKPR,ACTIVE,Direktur Korporasi
873,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DRVER,ACTIVE,Driver
874,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DRWUT,ACTIVE,Wakil Direktur Utama
875,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,DVRCB,ACTIVE,Driver Cabang
876,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOACD,ACTIVE,Executive Officer Admin Credit 2
877,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOACS,ACTIVE,Executive Officer Admin Credit 1
878,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOACT,ACTIVE,Executive Officer Admin Credit 3
879,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOADP,ACTIVE,Executive Officer Admin & Perijinan
880,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOAKT,ACTIVE,Executive Officer Akuntansi
881,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOASP,ACTIVE,Executive Officer Admin Sekr. Perusahaan
882,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOBGT,ACTIVE,Executive Officer Budgeting
883,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOBS,ACTIVE,Executive Officer Branch Support
884,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOCE,ACTIVE,Executive Officer Control 3
885,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOCRS,ACTIVE,EXECUTIVE OFFICER COPRPORATE SECRETARY
886,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EODPP,ACTIVE,Executive Officer Sentra Depos& Pinjaman
887,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOEBN,ACTIVE,Executive Officer E Banking
888,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOFF1,ACTIVE,Executive Officer 1
889,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOFF5,ACTIVE,Executive Officer 5
890,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOFF6,ACTIVE,Executive Officer 6
891,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOHUP,ACTIVE,Executive Officer Hukum Perusahaan
892,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOIAS,ACTIVE,Executive Officer IT Application Support
893,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOIBS,ACTIVE,Executive Officer IT Business Solution
894,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOITP,ACTIVE,Executive Officer IT Project
895,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOIUS,ACTIVE,EXECUTIVE OFFICER IT USER REPS
896,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKAR,ACTIVE,Executive Officer Kredit Approval Ritel
897,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKBN,ACTIVE,Executive Officer Konsumer Bisnis
898,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKCB,ACTIVE,Executive Officer Kantor Cabang
899,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKKM,ACTIVE,Executive Officer Korporasi & Komers 2
900,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKMB,ACTIVE,Execuitve Officer Konsumer Bisnis
901,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKMS,ACTIVE,Executive Officer Konsumer SPK
902,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKOP,ACTIVE,Executive Officer Kontrol Operasi
903,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKRO,ACTIVE,Executive Officer KUR Collection
904,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKRR,ACTIVE,Executive Officer Kredit Risk Review
905,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOKTL,ACTIVE,Executive Officer Kontrol 1
906,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOLKO,ACTIVE,Executive Officer Legal Krdt & Operation
907,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOLPA,ACTIVE,Executive Officer Legal Prod & Advice
908,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOLTP,ACTIVE,Executive Officer Litigasi Perusahaan
909,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOMAR,ACTIVE,Executive Officer Marketing Komunikasi
910,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOMIN,ACTIVE,Executive Officer Mikro & Inkl Keuangan
911,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPBK,ACTIVE,Executive Officer Perbaikan
912,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPBS,ACTIVE,Executive Officer Pengembangan Bisnis
913,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPLP,ACTIVE,Executive Officer Pelaporan
914,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPLS,ACTIVE,Executive Officer Pelaporan & Surat
915,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPMO,ACTIVE,Executive Officer Pembinaan Operasi
916,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPNJ,ACTIVE,Executive Officer Penilaian Jaminan
917,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPOX,ACTIVE,"Executive Officer Pend Oprs,Trops & Exim"
918,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPPS,ACTIVE,Executive Officer Perw. Pengg & Sisd. TI
919,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOPRK,ACTIVE,Executive Officer Pengukuran Risiko Krdt
920,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EORBN,ACTIVE,Executive Officer Ritel Bisnis 1
921,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOREC,ACTIVE,Executive Officer Recruitment
922,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EORMD,ACTIVE,Executive Officer Remedial
923,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EORTL,ACTIVE,Executive Officer Retail
924,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOSDS,ACTIVE,Executive Officer Sisdur Kredit & SDM
925,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOSKK,ACTIVE,Executive Officer SKAI Kredit
926,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOSKS,ACTIVE,Executive Officer SKAI Supervisi
927,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOSOC,ACTIVE,Executive Officer Sentra Operasi Cabang
928,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOSTI,ACTIVE,Executive Officer SKAI Teknol Informasi
929,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOTJS,ACTIVE,Executive Officer Tg Jb Sos & Peng Persh
930,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOTTI,ACTIVE,Executive Officer Transaksi Tresuri
931,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EOVMH,ACTIVE,Executive Officer Vendor Management HW
932,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,ERDEPHEAD,ACTIVE,Head of Human Resources Department
933,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EX092,ACTIVE,Executive Officer IT Security
934,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EX200,ACTIVE,Executive Officer Kepatuhan Operasi
935,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EX205,ACTIVE,Executive Officer Kepatuhan Kredit
936,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EX251,ACTIVE,Executive Officer Pengadaan & Premises
937,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EX326,ACTIVE,Executive Officer Peng SDM dan Diklat
938,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EX422,ACTIVE,Executive Officer Umum Operasional
939,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EX441,ACTIVE,Executive Officer Kompensasi
940,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,EX448,ACTIVE,Executive Officer Sisdur Opr & Kredit
